,shot_description,shot_count,shot_makes,year,shot_group
5,2PT Running Jump Shot,166,72,2016,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,596,264,2016,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,1070,442,2016,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,28,12,2016,THREE_POINT_JUMPERS
9,3PT Floating Jump Shot,2,0,2016,FLOATING_SHOTS
10,3PT Jump Shot,7154,2276,2016,THREE_POINT_JUMPERS
11,3PT Pullup Jump Shot,1304,690,2016,THREE_POINT_JUMPERS
12,3PT Running Jump Shot,130,52,2016,THREE_POINT_JUMPERS
13,3PT Step Back Jump Shot,206,100,2016,THREE_POINT_JUMPERS
14,3PT Turnaround Jump Shot,22,8,2016,THREE_POINT_JUMPERS
15,Alley Oop Dunk,212,184,2016,DUNKS
16,Alley Oop Layup,148,96,2016,LAYUPS
17,Driving Dunk,192,164,2016,DUNKS
18,Driving Hook Shot,174,86,2016,POST_MOVES
19,Driving Layup,2368,1324,2016,LAYUPS
20,Finger Roll,614,394,2016,LAYUPS
21,Hook Shot,412,176,2016,POST_MOVES
22,Putback Dunk,84,76,2016,DUNKS
23,Putback Layup,920,476,2016,LAYUPS
24,Reverse Dunk,38,32,2016,DUNKS
25,Reverse Layup,260,158,2016,LAYUPS
26,Specialty Dunk,370,354,2016,DUNKS
