PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_1_DISTANCE,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_2_DISTANCE,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_3_DISTANCE,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_4_DISTANCE,SIMILAR_5_NAME,SIMILAR_5_ID,SIMILAR_5_DISTANCE
AJ Green,1631260,Duncan Robinson,1629130,11.60994276664821,Isaiah Joe,1630198,11.750722700128598,Sam Merrill,1630241,11.800388414299292,Grayson Allen,1628960,11.859841894000436,Sam Hauser,1630573,12.104585356868364
Aaron Gordon,203932,Pascal Siakam,1627783,12.276717119422017,Jeremy Sochan,1631110,13.038007900890957,Julius Randle,203944,13.37665992008891,John Collins,1628381,13.402581838676328,Jimmy Butler,202710,13.851909940629827
Aaron Wiggins,1630598,Christian Braun,1631128,10.602050680828237,Derrick Jones Jr.,1627884,10.672464567989504,Santi Aldama,1630583,10.821862906127814,OG Anunoby,1628384,11.195146636130728,Rui Hachimura,1629060,11.26192424103405
Ajay Mitchell,1642349,Keaton Wallace,1630811,11.215397965598804,Quenton Jackson,1631245,12.33379742433764,Jamal Shead,1642347,13.795018234144235,Davion Mitchell,1630558,13.98855167817037,Lonzo Ball,1628366,15.256920867755841
Al Horford,201143,Dorian Finney-Smith,1627827,11.363903540699853,Trey Lyles,1626168,12.063961814808962,Georges Niang,1627777,12.465818974823089,Dean Wade,1629731,12.536231182166938,Royce O'Neale,1626220,12.714417640152229
Alec Burks,202692,Gary Harris,203914,11.62539425960332,Caleb Houstan,1631216,14.747153669968418,Pat Connaughton,1626192,16.16026718646427,Max Strus,1629622,17.420451957494798,Micah Potter,1630695,17.70019099639196
Alex Caruso,1627936,Kris Dunn,1627739,12.35306446495943,Cason Wallace,1641717,12.941385049595109,Trevelin Queen,1630243,15.152346264266937,Dru Smith,1630696,15.722578940156826,Dyson Daniels,1630700,15.799035214377758
Alex Sarr,1642259,Jonathan Mogbo,1642367,12.745438799279047,Kyle Filipowski,1642271,13.126876122980882,Jalen Smith,1630188,13.271251278416926,Myles Turner,1626167,13.947142099921383,Guerschon Yabusele,1627824,13.996769014762842
Alperen Sengun,1630578,Bam Adebayo,1628389,11.634957958252281,Anthony Davis,203076,11.659886518170271,Karl-Anthony Towns,1626157,13.645904061834733,Domantas Sabonis,1627734,13.762055619883592,Evan Mobley,1630596,14.718010590120645
Amen Thompson,1641708,Josh Hart,1628404,11.432849109370878,Jeremy Sochan,1631110,12.733883849342968,Aaron Gordon,203932,14.615961691784701,Jimmy Butler,202710,15.31358273899301,Naz Reid,1629675,15.3532377914226
